No,Sub Portfolio Name,Floor Name,Lot No,Net Area (Lot Master),NLA,Rental Base,Rental Rate,Service Charge Rate,Start Date,End Date,RCD,RED,Fit Out Commenced On,Business Name,Brand Name
54,CITIMALL CIANJUR,G,G-0060B,0.00,Y,,0.00,0.00,,,,,,,
55,CITIMALL CIANJUR,G,G-0060C,0.00,Y,,0.00,0.00,,,,,,,
56,CITIMALL CIANJUR,G,G-0060D,0.00,Y,,0.00,0.00,,,,,,,
57,CITIMALL CIANJUR,G,G-0060E,0.00,Y,,0.00,0.00,,,,,,,
58,CITIMALL CIANJUR,G,G-0060F,0.00,Y,,0.00,0.00,,,,,,,
59,CITIMALL CIANJUR,G,G-0060G,0.00,Y,,0.00,0.00,,,,,,,
60,CITIMALL CIANJUR,G,G-0060H,0.00,Y,,0.00,0.00,,,,,,,
61,CITIMALL CIANJUR,G,G-0060I,0.00,Y,,0.00,0.00,,,,,,,
62,CITIMALL CIANJUR,G,G-0060J,0.00,Y,,0.00,0.00,,,,,,,
63,CITIMALL CIANJUR,G,G-0060K,0.00,Y,,0.00,0.00,,,,,,,
64,CITIMALL CIANJUR,G,G-0060L,0.00,Y,,0.00,0.00,,,,,,,
65,CITIMALL CIANJUR,G,G-0060Z,0.00,Y,,0.00,0.00,,,,,,,
66,CITIMALL CIANJUR,G,G-0061,158.44,Y,Revenue Share,0.00,0.00,23/Oct/2018,14/Dec/2028,15/Dec/2018,14/Dec/2028,23/Oct/2018,KFC,KFC
67,CITIMALL CIANJUR,G,G-0065,30.75,Y,Revenue Share,0.00,0.00,23/Oct/2018,14/Dec/2028,15/Dec/2018,14/Dec/2028,23/Oct/2018,KFC,KFC
68,CITIMALL CIANJUR,G,G-0070,82.00,Y,Full Rental,"135,000.00","114,240.00",02/Jul/2018,01/Jul/2021,02/Jul/2018,01/Jul/2021,02/Jul/2018,CFC,CFC
