No,Sub Portfolio Name,Floor Cd,Floor Name,Lot No,Net Area (Lot Master),GFA,NLA,Contract Amt,Rental Base,Base Rental Rate,Rental Rate,Service Charge Rate
111,CITIMALL CIANJUR,0,G,G-0220,1,Y,Y,"72,999,999.96",Full Rental,"6,083,333.33",6083333,0.00
111,CITIMALL CIANJUR,0,G,G-0230,2,Y,Y,"107,249,999.76",Full Rental,"2,979,166.66",2979167,"99,000.00"
111,CITIMALL CIANJUR,0,G,G-0240,2,Y,Y,,,,0,0.00
111,CITIMALL CIANJUR,0,G,G-0250,2,Y,Y,"219,999,998.16",Full Rental,"4,074,074.04",4074074,0.00
111,CITIMALL CIANJUR,0,G,G-0260,1,Y,Y,"60,499,999.92",Full Rental,"5,041,666.66",5041667,0.00
111,CITIMALL CIANJUR,0,G,G-0270,92,Y,Y,"7,649,999.64",Full Rental,"83,152.17",83152,0.00
222,CITIMALL SUKABUMI,0,G,G-0010,1253,Y,Y,"9,097,578,600.00",Full Rental,"60,500.00",63000,"58,563.81"
222,CITIMALL SUKABUMI,0,G,G-0020,76,Y,Y,"849,387,600.00",Full Rental,"186,000.00",180000,"106,000.00"
222,CITIMALL SUKABUMI,0,G,G-0030,31,Y,Y,"276,210,000.00",Full Rental,"250,000.00",250000,"102,000.00"
222,CITIMALL SUKABUMI,0,G,G-0035,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,0,G,G-0040,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,0,G,G-0050,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,0,G,G-0060,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,0,G,G-0070,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,0,G,G-0071,158,Y,Y,"1,967,596,800.00",Full Rental,"208,000.00",200000,"106,000.00"
222,CITIMALL SUKABUMI,0,G,G-0080,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,0,G,G-0090,131,Y,Y,"2,156,550,000.00",Full Rental,"275,000.00",275000,"102,000.00"
222,CITIMALL SUKABUMI,0,G,G-0100,35,Y,Y,"651,000,000.00",Full Rental,"310,000.00",325000,"102,000.00"
222,CITIMALL SUKABUMI,0,G,G-0110,115,Y,Y,"1,984,605,000.00",Full Rental,"287,000.00",275000,"106,000.00"
222,CITIMALL SUKABUMI,0,G,G-0120,191,Y,Y,"60,817,500.00",Combine,"53,000.00",53000,0.00
222,CITIMALL SUKABUMI,0,G,G-0130,38,Y,Y,"529,238,400.00",Full Rental,"386,428.57",380000,"106,000.00"
222,CITIMALL SUKABUMI,0,G,G-0140,37,Y,Y,"658,501,200.00",Full Rental,"294,000.00",290000,"102,000.00"
222,CITIMALL SUKABUMI,0,G,G-0150,130,Y,Y,"2,262,000,000.00",Full Rental,"290,000.00",285000,"89,100.00"
222,CITIMALL SUKABUMI,0,G,G-0160,48,Y,Y,"675,531,000.00",Full Rental,"235,000.00",250000,"102,000.00"
222,CITIMALL SUKABUMI,0,G,G-0170,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,0,G,G-0180,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,0,G,G-0190,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,0,G,G-0200,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,0,G,G-0210,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,0,G,G-0220,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,0,G,G-0230,8,Y,Y,"451,584,000.00",Full Rental,"1,600,000.00",1600000,0.00
222,CITIMALL SUKABUMI,0,G,G-0240,1,Y,Y,"384,000,000.00",Full Rental,"16,000,000.00",16000000,0.00
222,CITIMALL SUKABUMI,0,G,G-0250,39,Y,Y,"335,577,600.00",Full Rental,"240,000.00",240000,"102,000.00"
222,CITIMALL SUKABUMI,0,G,G-0260,7,Y,Y,"15,163,200.00",Full Rental,"60,000.00",60000,0.00
222,CITIMALL SUKABUMI,0,G,G-0270,16,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,0,G,G-0275,15,Y,Y,"57,759,000.00",Full Rental,"325,000.00",325000,"106,000.00"
222,CITIMALL SUKABUMI,0,G,G-0280,35,Y,Y,"19,249,994.75",Full Rental,"214,285.70",121429,0.00
222,CITIMALL SUKABUMI,0,G,G-0290,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0010,1590,Y,Y,"26,072,264,400.00",Full Rental,"45,500.00",40000,"20,630.00"
222,CITIMALL SUKABUMI,10,1,1-0011,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0012,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0130,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0140,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0150,25,Y,Y,,,,0,0.00
